feature_name,tier,description,formula_reference,data_type
bid_p_1,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
bid_v_1,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
ask_p_1,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
ask_v_1,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
bid_p_2,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
bid_v_2,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
ask_p_2,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
ask_v_2,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
bid_p_3,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
bid_v_3,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
ask_p_3,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
ask_v_3,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
bid_p_4,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
bid_v_4,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
ask_p_4,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
ask_v_4,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
bid_p_5,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
bid_v_5,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
ask_p_5,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
ask_v_5,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
bid_p_6,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
bid_v_6,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
ask_p_6,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
ask_v_6,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
bid_p_7,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
bid_v_7,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
ask_p_7,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
ask_v_7,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
bid_p_8,Tier 0 (Raw LOB),Limit order book price level,Eq (1),float64
bid_v_8,Tier 0 (Raw LOB),Limit order book volume depth,Eq (1),float64
